id_uf,codigo_ibge,sigla,nome,id_regiao,regiao,populacao,densidade_km2,idh_2010
11,11,RO,Rondônia,1,Norte,1581019,6.58,0.736
12,12,AC,Acre,1,Norte,830026,4.47,0.708
13,13,AM,Amazonas,1,Norte,4144597,2.23,0.708
14,14,RR,Roraima,1,Norte,636707,2.01,0.75
15,15,PA,Pará,1,Norte,8603850,6.07,0.646
16,16,AP,Amapá,1,Norte,845731,4.69,0.708
17,17,TO,Tocantins,1,Norte,1590248,5.0,0.699
21,21,MA,Maranhão,2,Nordeste,7153262,7.28,0.639
22,22,PI,Piauí,2,Nordeste,3289290,7.28,0.646
23,23,CE,Ceará,2,Nordeste,9240580,12.4,0.682
24,24,RN,Rio Grande do Norte,2,Nordeste,3560903,60.06,0.684
25,25,PB,Paraíba,2,Nordeste,4059905,66.7,0.658
26,26,PE,Pernambuco,2,Nordeste,9674793,89.62,0.673
27,27,AL,Alagoas,2,Nordeste,3351543,112.33,0.631
28,28,SE,Sergipe,2,Nordeste,2338474,106.76,0.665
29,29,BA,Bahia,2,Nordeste,14930634,24.82,0.66
31,31,MG,Minas Gerais,3,Sudeste,21411923,33.41,0.731
32,32,ES,Espírito Santo,3,Sudeste,4108508,76.96,0.74
33,33,RJ,Rio de Janeiro,3,Sudeste,17463349,365.23,0.761
35,35,SP,São Paulo,3,Sudeste,46649132,166.25,0.783
41,41,PR,Paraná,4,Sul,11597484,52.4,0.749
42,42,SC,Santa Catarina,4,Sul,7609601,65.27,0.774
43,43,RS,Rio Grande do Sul,4,Sul,11466630,39.79,0.746
50,50,MS,Mato Grosso do Sul,5,Centro-Oeste,2833469,6.86,0.729
51,51,MT,Mato Grosso,5,Centro-Oeste,3784239,3.36,0.725
52,52,GO,Goiás,5,Centro-Oeste,7266975,17.65,0.735
53,53,DF,Distrito Federal,5,Centro-Oeste,3094325,444.66,0.824
