id_fato,id_uf,id_periodo,pct_domicilios_internet,domicilios_com_internet,domicilios_total,domicilios_sem_internet,cv_pct,margem_pp,ic_inferior,ic_superior
1,11,1,63.4,345.0,544.0,199.0,2.2,2.73,60.7,66.1
2,11,2,71.3,393.0,551.0,158.0,2.0,2.8,68.5,74.1
3,11,3,77.2,431.0,558.0,127.0,1.5,2.27,75.0,79.5
4,11,4,84.6,468.0,553.0,85.0,1.2,1.99,82.6,86.6
5,11,5,92.4,551.0,596.0,45.0,1.2,2.17,90.3,94.6
6,11,6,93.2,574.0,616.0,42.0,1.1,2.01,91.2,95.2
7,11,7,94.0,624.0,664.0,40.0,1.1,2.03,91.9,96.0
8,11,8,95.4,616.0,646.0,30.0,1.3,2.43,92.9,97.8
9,11,9,96.2,616.0,640.0,24.0,1.2,2.26,94.0,98.5
10,12,1,59.6,136.0,228.0,92.0,2.4,2.81,56.8,62.5
11,12,2,63.2,148.0,234.0,86.0,2.2,2.73,60.5,66.0
12,12,3,67.3,169.0,251.0,82.0,2.3,3.04,64.3,70.4
13,12,4,71.6,184.0,257.0,73.0,2.3,3.23,68.4,74.8
14,12,5,83.5,213.0,255.0,42.0,1.8,2.95,80.6,86.5
15,12,6,83.5,228.0,273.0,45.0,1.7,2.78,80.7,86.3
16,12,7,84.4,232.0,275.0,43.0,1.8,2.98,81.4,87.3
17,12,8,87.4,249.0,285.0,36.0,1.5,2.57,84.8,89.9
18,12,9,90.6,270.0,298.0,28.0,1.4,2.49,88.1,93.1
19,13,1,64.1,640.0,998.0,358.0,2.2,2.77,61.4,66.9
20,13,2,70.7,724.0,1024.0,300.0,1.8,2.49,68.2,73.2
21,13,3,76.3,810.0,1061.0,251.0,1.7,2.54,73.8,78.9
22,13,4,78.7,826.0,1049.0,223.0,1.7,2.62,76.1,81.4
23,13,5,85.4,916.0,1072.0,156.0,1.4,2.34,83.1,87.8
24,13,6,86.5,973.0,1125.0,152.0,1.6,2.71,83.8,89.2
25,13,7,88.7,1068.0,1204.0,136.0,1.3,2.26,86.4,91.0
26,13,8,91.3,1155.0,1265.0,110.0,1.3,2.33,89.0,93.6
27,13,9,94.3,1224.0,1298.0,74.0,1.2,2.22,92.1,96.5
28,14,1,72.9,102.0,140.0,38.0,2.6,3.71,69.1,76.6
29,14,2,78.5,113.0,144.0,31.0,2.4,3.69,74.8,82.2
30,14,3,80.8,122.0,151.0,29.0,2.3,3.64,77.2,84.4
31,14,4,81.2,125.0,154.0,29.0,2.6,4.14,77.0,85.3
32,14,5,89.2,148.0,166.0,18.0,2.0,3.49,85.7,92.6
33,14,6,93.3,168.0,180.0,12.0,1.6,2.93,90.4,96.3
34,14,7,94.0,172.0,183.0,11.0,1.4,2.58,91.4,96.6
35,14,8,94.9,188.0,198.0,10.0,1.6,2.98,92.0,97.9
36,14,9,96.2,205.0,213.0,8.0,1.5,2.83,93.4,99.1
37,15,1,61.1,1381.0,2259.0,878.0,2.1,2.52,58.6,63.7
38,15,2,67.1,1538.0,2293.0,755.0,1.7,2.23,64.8,69.3
39,15,3,70.1,1646.0,2349.0,703.0,1.7,2.33,67.7,72.4
40,15,4,74.1,1815.0,2451.0,636.0,1.5,2.18,71.9,76.2
41,15,5,82.7,2067.0,2499.0,432.0,1.5,2.43,80.3,85.1
42,15,6,87.5,2255.0,2576.0,321.0,1.1,1.89,85.6,89.4
43,15,7,90.1,2396.0,2658.0,262.0,1.2,2.12,88.0,92.3
44,15,8,91.8,2502.0,2726.0,224.0,1.0,1.8,90.0,93.6
45,15,9,93.5,2601.0,2782.0,181.0,0.8,1.47,92.0,95.0
46,16,1,80.9,157.0,194.0,37.0,3.0,4.76,76.2,85.7
47,16,2,82.0,164.0,200.0,36.0,3.2,5.14,76.9,87.1
48,16,3,79.8,158.0,198.0,40.0,3.6,5.63,74.2,85.4
49,16,4,85.0,170.0,200.0,30.0,3.4,5.66,79.3,90.7
50,16,5,93.2,205.0,220.0,15.0,2.2,4.02,89.2,97.2
51,16,6,91.7,199.0,217.0,18.0,1.8,3.24,88.5,94.9
52,16,7,94.0,220.0,234.0,14.0,2.0,3.69,90.3,97.7
53,16,8,93.3,224.0,240.0,16.0,2.2,4.02,89.3,97.4
54,16,9,95.2,240.0,252.0,12.0,1.7,3.17,92.1,98.4
55,17,1,64.0,295.0,461.0,166.0,2.6,3.26,60.7,67.3
