id_situacao,id_periodo,ano,escopo,local,situacao,pct_domicilios_internet,domicilios_com_internet,domicilios_total
1,1,2016,Brasil,Brasil,Rural,35.0,3211.0,9165.0
2,1,2016,Brasil,Brasil,Total,70.8,47320.0,66855.0
3,1,2016,Brasil,Brasil,Urbana,76.5,44109.0,57690.0
4,2,2017,Brasil,Brasil,Rural,42.5,3910.0,9198.0
5,2,2017,Brasil,Brasil,Total,76.3,51692.0,67776.0
6,2,2017,Brasil,Brasil,Urbana,81.6,47782.0,58578.0
7,3,2018,Brasil,Brasil,Rural,51.0,4786.0,9391.0
8,3,2018,Brasil,Brasil,Total,80.5,55641.0,69107.0
9,3,2018,Brasil,Brasil,Urbana,85.2,50855.0,59717.0
10,4,2019,Brasil,Brasil,Rural,57.8,5446.0,9426.0
11,4,2019,Brasil,Brasil,Total,83.9,58837.0,70105.0
12,4,2019,Brasil,Brasil,Urbana,88.0,53390.0,60679.0
13,5,2021,Brasil,Brasil,Rural,74.9,7060.0,9430.0
14,5,2021,Brasil,Brasil,Total,90.0,64418.0,71546.0
15,5,2021,Brasil,Brasil,Urbana,92.3,57358.0,62117.0
16,6,2022,Brasil,Brasil,Rural,78.2,7342.0,9384.0
17,6,2022,Brasil,Brasil,Total,91.6,67601.0,73802.0
18,6,2022,Brasil,Brasil,Urbana,93.5,60259.0,64418.0
19,7,2023,Brasil,Brasil,Rural,81.2,7590.0,9348.0
20,7,2023,Brasil,Brasil,Total,92.6,70972.0,76656.0
21,7,2023,Brasil,Brasil,Urbana,94.2,63382.0,67308.0
22,8,2024,Brasil,Brasil,Rural,85.0,7592.0,8936.0
23,8,2024,Brasil,Brasil,Total,93.7,73333.0,78280.0
24,8,2024,Brasil,Brasil,Urbana,94.8,65741.0,69344.0
25,9,2025,Brasil,Brasil,Rural,88.0,7895.0,8969.0
26,9,2025,Brasil,Brasil,Total,95.0,76002.0,80029.0
27,9,2025,Brasil,Brasil,Urbana,95.8,68107.0,71060.0
28,1,2016,Região,Centro-Oeste,Rural,42.8,223.0,521.0
29,1,2016,Região,Centro-Oeste,Total,76.1,3931.0,5165.0
30,1,2016,Região,Centro-Oeste,Urbana,79.8,3708.0,4644.0
31,2,2017,Região,Centro-Oeste,Rural,46.8,241.0,515.0
32,2,2017,Região,Centro-Oeste,Total,80.9,4283.0,5292.0
33,2,2017,Região,Centro-Oeste,Urbana,84.6,4042.0,4777.0
34,3,2018,Região,Centro-Oeste,Rural,58.6,307.0,524.0
35,3,2018,Região,Centro-Oeste,Total,85.0,4594.0,5406.0
36,3,2018,Região,Centro-Oeste,Urbana,87.8,4287.0,4882.0
37,4,2019,Região,Centro-Oeste,Rural,64.6,334.0,517.0
38,4,2019,Região,Centro-Oeste,Total,87.6,4752.0,5427.0
39,4,2019,Região,Centro-Oeste,Urbana,90.0,4417.0,4910.0
40,5,2021,Região,Centro-Oeste,Rural,82.4,403.0,489.0
41,5,2021,Região,Centro-Oeste,Total,93.3,5214.0,5586.0
42,5,2021,Região,Centro-Oeste,Urbana,94.4,4811.0,5097.0
43,6,2022,Região,Centro-Oeste,Rural,84.8,402.0,474.0
44,6,2022,Região,Centro-Oeste,Total,94.5,5534.0,5854.0
45,6,2022,Região,Centro-Oeste,Urbana,95.4,5132.0,5380.0
46,7,2023,Região,Centro-Oeste,Rural,89.0,420.0,472.0
47,7,2023,Região,Centro-Oeste,Total,95.4,5879.0,6161.0
48,7,2023,Região,Centro-Oeste,Urbana,96.0,5459.0,5689.0
49,8,2024,Região,Centro-Oeste,Rural,92.2,378.0,410.0
50,8,2024,Região,Centro-Oeste,Total,96.0,5984.0,6232.0
51,8,2024,Região,Centro-Oeste,Urbana,96.3,5606.0,5822.0
52,9,2025,Região,Centro-Oeste,Rural,95.3,409.0,429.0
53,9,2025,Região,Centro-Oeste,Total,97.0,6225.0,6420.0
54,9,2025,Região,Centro-Oeste,Urbana,97.1,5816.0,5991.0
55,1,2016,Região,Nordeste,Rural,28.5,1220.0,4285.0
56,1,2016,Região,Nordeste,Total,57.7,10060.0,17440.0
57,1,2016,Região,Nordeste,Urbana,67.2,8840.0,13155.0
58,2,2017,Região,Nordeste,Rural,37.0,1607.0,4345.0
59,2,2017,Região,Nordeste,Total,65.1,11491.0,17649.0
60,2,2017,Região,Nordeste,Urbana,74.3,9885.0,13304.0
61,3,2018,Região,Nordeste,Rural,45.8,2052.0,4481.0
62,3,2018,Região,Nordeste,Total,70.5,12638.0,17926.0
63,3,2018,Região,Nordeste,Urbana,78.7,10586.0,13445.0
64,4,2019,Região,Nordeste,Rural,54.1,2425.0,4483.0
65,4,2019,Região,Nordeste,Total,75.6,13775.0,18215.0
66,4,2019,Região,Nordeste,Urbana,82.6,11350.0,13733.0
67,5,2021,Região,Nordeste,Rural,74.0,3255.0,4398.0
68,5,2021,Região,Nordeste,Total,85.2,15730.0,18470.0
69,5,2021,Região,Nordeste,Urbana,88.7,12476.0,14072.0
70,6,2022,Região,Nordeste,Rural,77.2,3407.0,4413.0
71,6,2022,Região,Nordeste,Total,87.8,16850.0,19198.0
72,6,2022,Região,Nordeste,Urbana,90.9,13442.0,14784.0
73,7,2023,Região,Nordeste,Rural,80.1,3645.0,4548.0
